"category","issue","scope","start","end","duration","diversity","connectivity","vendors_involved","rfo_category","rfo_description"
"K12/COE","NOC-638825","100G circuit went down.","2021-01-02 00:21:00","2021-01-02 00:24:00","00:03","Orange County Department of Education","","Crown Castle","unknown","pending"
"Multi-site","NOC-638822","Multiple AT&T Circuits bounced in the SoCal / Riverside / SD region.","2021-01-01 22:38:00","2021-01-01 22:43:00","00:05","CSU San Marcos ;; Cuyamaca CC ;; Palomar College ;; Palomar College North Education Center ;; San Diego State University ;; Southwestern CCD HEC - Otay Mesa","","AT&T","unknown",""
"K12/COE","NOC-638783","Santa Barbara COE's 10GE circuit to LAX was down.","2021-01-01 00:08:00","2021-01-01 19:35:00","19:27","Santa Barbara COE ;; Santa Maria JUHSD","","SCE","fiber damage",""
"K12/COE","NOC-638684","The connection to Riverside COE Murrieta Office is currently down.","2020-12-29 23:46:00","2020-12-30 08:21:00","08:35","","Riverside COE - Murrieta Office","Environmental","other","Customer owned fiber"
"K12/COE","NOC-638794","Both circuits to Riverside COE are down.","2021-01-01 06:58:00","2021-01-01 14:57:00","07:59","","Riverside COE","Environmental","unknown","Customer owned fiber"
"Multi-site","NOC-638773","Multisite outage","2020-12-31 18:49:00","2020-12-31 22:03:00","03:14","Fresno County Library ;; Kings County Library ;; Tulare County Library ;; Tulare Public Library","","Vast","fiber cut",""
"K12/COE","NOC-638785","Earlimart School District is unreachable.","2021-01-01 00:41:00","2021-01-01 01:06:00","00:25","","Earlimart School District","Environmental","power outage",""
"Library","NOC-638768","Humboldt County Library bounce","2020-12-31 15:47:00","2020-12-31 15:49:00","00:02","","Humboldt County Library","AT&T","unknown",""
"K12/COE","NOC-638605","Both links between Riverside COE and CENIC's Riverside hub site are down.","2020-12-30 07:36:00","2020-12-30 14:55:00","07:19","Riverside COE","","Environmental","power outage",""
"Multi-site","NOC-638731","Multiple AT&T circuits bounced","2020-12-30 14:28:00","2020-12-30 14:29:00","00:01","Canyon Country Education Center ;; College of the Canyons ;; CSU Channel Islands ;; Glendale CC Professional Development Center ;; Glendale CCD ;; Glendale College Professional Development Center ;; LA City College ;; LA Mission College ;; LA Pierce College ;; Moorpark College ;; Oxnard - Ventura County CCD ;; Pepperdine University - West LA Campus ;; Santa Monica College ;; Santa Monica College - Center for Media and Design ;; Ventura College ;; West Los Angeles College","","AT&T","unknown","Pending"
"Multi-site","NOC-638696","Multiple circuits in the Central Valley region bounced","2020-12-30 03:42:00","2020-12-30 03:44:00","00:02","Fresno County Library ;; Kings County Library ;; Madera County Library ;; Mariposa County Library ;; Merced County Library","","AT&T","unknown",""
"CC","NOC-638590","Southwestern CC Down","2020-12-28 23:02:00","2020-12-29 10:50:00","11:48","Southwestern CCD HEC - Otay Mesa ;; Southwestern CCD HEC - San Ysidro","Southwestern CCD","Environmental","power outage",""
"K12/COE","NOC-638605","Brief bounce affecting multiple Crown Castle Fiber circuits.","2020-12-29 07:04:00","2020-12-29 07:05:00","00:01","Riverside COE ;; UCPath Center","","Environmental","power outage",""
"CC","NOC-638599","Shasta CC - Tehama power outage","2020-12-29 03:38:00","2020-12-29 03:45:00","00:07","Shasta CC Burney Center ;; Shasta CCD ;; Shasta CCD Health Sciences ;; Shasta CCD Trinity Center","Shasta CC - Tehama","Environmental","power outage",""
